iter,phase,running_train_loss,val_stSNR_mean,val_stSNR_per_stack,val_stPSNR_mean,val_stSI_PSNR_mean,is_best,elapsed_sec
30500,n2v,0.173820,13.4196,F0:21.2423;F1:23.1323;F2:12.4974;F3:-3.1935,17.0544,-5.0506,0,41121.7
31000,n2v,0.176919,13.7313,F0:21.7279;F1:23.7040;F2:12.6390;F3:-3.1457,17.3661,-5.0319,1,41823.2
31500,n2v,0.175502,13.7515,F0:22.2634;F1:23.6910;F2:12.1521;F3:-3.1007,17.3862,-5.0021,1,42520.1
32000,n2v,0.174033,13.5102,F0:21.8028;F1:23.5918;F2:11.7994;F3:-3.1531,17.1450,-4.9339,0,43204.5
32500,n2v,0.175388,13.6202,F0:22.1461;F1:23.4133;F2:12.0529;F3:-3.1314,17.2550,-4.9131,0,43913.0
33000,n2v,0.176063,13.5662,F0:22.3149;F1:23.5749;F2:11.5219;F3:-3.1471,17.2009,-5.0331,0,44621.4
33500,n2v,0.175406,13.7339,F0:22.2767;F1:23.5935;F2:12.2014;F3:-3.1359,17.3687,-4.9613,0,45326.4
34000,n2v,0.175647,13.4022,F0:21.7724;F1:23.5901;F2:11.4753;F3:-3.2290,17.0370,-4.9411,0,46031.0
34500,n2v,0.176126,13.6559,F0:22.3138;F1:23.7072;F2:11.7432;F3:-3.1407,17.2907,-4.9500,0,46732.8
35000,n2v,0.175438,13.6859,F0:22.4819;F1:23.5335;F2:11.9354;F3:-3.2071,17.3207,-4.9857,0,47434.0
35500,n2v,0.176226,13.5372,F0:22.2253;F1:23.4648;F2:11.6431;F3:-3.1845,17.1720,-4.9651,0,48113.6
36000,n2v,0.173634,13.7794,F0:22.1697;F1:23.8253;F2:12.3083;F3:-3.1857,17.4142,-4.9326,1,48803.7
36500,n2v,0.175571,13.7345,F0:23.1860;F1:23.4016;F2:11.5078;F3:-3.1574,17.3693,-5.0207,0,49486.3
37000,n2v,0.175146,13.8037,F0:22.5432;F1:23.6249;F2:12.2698;F3:-3.2230,17.4385,-4.9986,1,50166.6
37500,n2v,0.174866,13.7345,F0:22.7429;F1:23.6093;F2:11.8742;F3:-3.2884,17.3693,-4.9995,0,50843.6
38000,n2v,0.175991,13.6756,F0:22.5685;F1:23.6681;F2:11.7208;F3:-3.2548,17.3104,-5.0259,0,51514.8
38500,n2v,0.175095,13.8053,F0:22.7990;F1:23.7548;F2:11.9317;F3:-3.2642,17.4401,-4.9595,1,52187.1
39000,n2v,0.176589,13.7037,F0:22.8190;F1:23.5612;F2:11.6622;F3:-3.2277,17.3385,-4.9439,0,52876.3
39500,n2v,0.175291,13.7044,F0:22.6901;F1:23.5019;F2:11.9350;F3:-3.3092,17.3392,-4.9873,0,53546.8
40000,n2v,0.174628,13.7453,F0:22.7562;F1:23.5617;F2:11.9468;F3:-3.2833,17.3801,-4.9633,0,54242.4
40500,n2v,0.175752,13.7224,F0:22.7357;F1:23.5730;F2:11.8675;F3:-3.2867,17.3572,-4.9458,0,54950.8
41000,n2v,0.175145,13.6367,F0:22.6618;F1:23.3470;F2:11.8009;F3:-3.2627,17.2715,-4.9480,0,55625.9
41500,n2v,0.174905,13.9263,F0:23.0279;F1:23.8247;F2:12.1431;F3:-3.2906,17.5611,-4.9889,1,56290.8
42000,n2v,0.175857,13.8489,F0:23.1856;F1:23.6911;F2:11.8506;F3:-3.3318,17.4836,-5.0037,0,56955.6
42500,n2v,0.175793,13.8304,F0:23.1596;F1:23.6300;F2:11.8206;F3:-3.2887,17.4652,-4.9881,0,57649.1
43000,n2v,0.175760,13.7492,F0:23.1928;F1:23.5580;F2:11.5381;F3:-3.2922,17.3840,-4.9409,0,58314.6
43500,n2v,0.175602,13.8892,F0:23.2042;F1:23.6051;F2:12.1098;F3:-3.3622,17.5240,-5.0370,0,59011.6
44000,n2v,0.174926,13.8210,F0:23.2407;F1:23.6342;F2:11.7411;F3:-3.3319,17.4558,-4.9854,0,59721.1
44500,n2v,0.176145,14.0081,F0:23.5052;F1:23.6943;F2:12.1589;F3:-3.3259,17.6429,-4.9339,1,60414.3
45000,n2v,0.176259,13.7647,F0:23.2371;F1:23.3238;F2:11.8178;F3:-3.3200,17.3994,-4.9435,0,61098.8
45500,n2v,0.174824,13.9659,F0:23.4729;F1:23.7251;F2:12.0228;F3:-3.3574,17.6006,-4.9751,0,61788.3
46000,n2v,0.174399,13.8341,F0:23.1455;F1:23.6615;F2:11.8835;F3:-3.3540,17.4689,-4.9266,0,62468.0
46500,n2v,0.175008,13.9165,F0:23.1820;F1:23.6455;F2:12.2012;F3:-3.3628,17.5513,-4.9640,0,63147.2
47000,n2v,0.175047,13.8969,F0:23.2446;F1:23.7110;F2:11.9821;F3:-3.3499,17.5317,-4.9660,0,63836.0
47500,n2v,0.175489,13.8474,F0:23.1944;F1:23.6463;F2:11.9054;F3:-3.3565,17.4822,-4.9652,0,64539.4
48000,n2v,0.175983,13.8655,F0:23.1715;F1:23.6806;F2:11.9685;F3:-3.3585,17.5003,-4.9503,0,65280.9
48500,n2v,0.174455,13.8423,F0:23.2995;F1:23.6903;F2:11.7367;F3:-3.3572,17.4771,-4.9504,0,65972.3
49000,n2v,0.176950,13.9289,F0:23.2917;F1:23.7559;F2:12.0598;F3:-3.3917,17.5637,-4.9917,0,66665.7
49500,n2v,0.176022,13.8640,F0:23.2892;F1:23.6648;F2:11.8729;F3:-3.3709,17.4988,-4.9310,0,67339.9
50000,n2v,0.174809,13.8971,F0:23.2851;F1:23.6598;F2:11.9902;F3:-3.3466,17.5319,-4.9694,0,68022.2
